Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
232,Ander Barrenetxea,ESP,"FW,DF",Real Sociedad,La Liga,20,2001,9.8,544,14,110,213,232,41,544,63,34,54.0,25,39.7,328,2099,994,36,15,17,36,18,348,72,Matches
233,Mickaël Barreto,FRA,MF,Ajaccio,Ligue 1,31,1991,14.7,869,18,159,501,227,9,869,49,23,46.9,24,49.0,601,3671,1576,26,30,0,34,19,533,53,Matches
234,Pablo Barrios,ESP,MF,Atlético Madrid,La Liga,19,2003,8.0,554,12,106,314,140,12,554,30,15,50.0,12,40.0,320,1795,690,16,10,3,15,10,405,27,Matches
235,Musa Barrow,GAM,"FW,MF",Bologna,Serie A,23,1998,21.8,1064,5,122,454,502,46,1064,71,24,33.8,41,57.7,667,4328,1960,68,59,19,50,31,791,141,Matches
236,Federico Baschirotto,ITA,DF,Lecce,Serie A,25,1996,37.0,1823,238,968,771,96,36,1823,5,3,60.0,1,20.0,849,4481,2352,12,4,0,10,2,918,12,Matches
237,Toma Bašić,CRO,MF,Lazio,Serie A,25,1996,5.7,367,12,75,179,115,17,367,8,3,37.5,4,50.0,222,1064,477,14,8,1,13,6,250,29,Matches
238,Alberto Basso,ITA,MF,Cremonese,Serie A,18,2004,0.2,3,0,0,0,3,1,3,0,0,0.0,0,0.0,2,27,11,0,0,0,0,1,3,2,Matches
239,Gil Bastião Dias,POR,FW,Stuttgart,Bundesliga,25,1996,4.4,246,4,46,111,97,13,246,19,10,52.6,8,42.1,157,1079,531,16,5,4,17,11,164,33,Matches
240,Alessandro Bastoni,ITA,DF,Inter,Serie A,23,1999,24.0,1857,201,796,821,250,30,1857,15,8,53.3,6,40.0,1137,5797,3688,47,31,3,13,6,1310,44,Matches
241,Simone Bastoni,ITA,"MF,DF",Spezia,Serie A,25,1996,13.2,749,31,183,306,273,24,749,20,7,35.0,10,50.0,341,1724,853,20,16,2,20,14,401,65,Matches
242,Rodrigo Battaglia,ARG,MF,Mallorca,La Liga,31,1991,7.6,310,28,114,170,27,6,310,3,0,0.0,1,33.3,136,665,268,3,4,0,5,6,164,3,Matches
243,Maximilian Bauer,GER,DF,Augsburg,Bundesliga,22,2000,20.5,982,135,590,362,36,13,982,5,2,40.0,1,20.0,461,2267,1272,11,8,0,10,5,501,2,Matches
244,Oliver Baumann,GER,GK,Hoffenheim,Bundesliga,32,1990,34.0,1503,1219,1489,15,0,0,1503,0,0,0.0,0,0.0,903,4083,2259,0,0,0,0,0,757,0,Matches
245,Timo Baumgartl,GER,DF,Union Berlin,Bundesliga,26,1996,6.2,372,33,160,187,26,9,372,0,0,0.0,0,0.0,212,1099,626,4,4,0,3,0,227,2,Matches
246,Julian Baumgartlinger,AUT,MF,Augsburg,Bundesliga,34,1988,6.2,292,19,93,156,44,3,292,4,1,25.0,2,50.0,143,462,203,1,2,0,7,3,151,3,Matches
247,Christoph Baumgartner,AUT,"MF,FW",Hoffenheim,Bundesliga,22,1999,28.5,1340,39,204,655,505,118,1340,116,54,46.6,47,40.5,767,4948,2487,76,59,33,81,36,900,145,Matches
248,Cyrille Bayala,BFA,MF,Ajaccio,Ligue 1,26,1996,22.3,947,27,161,431,373,45,947,68,25,36.8,38,55.9,620,4019,1631,46,34,14,56,35,541,109,Matches
249,Brian Bayeye,FRA,DF,Torino,Serie A,22,2000,0.7,64,6,29,24,11,3,64,2,2,100.0,0,0.0,23,139,93,3,2,2,3,2,29,5,Matches
250,Noah Joel Sarenren Bazee,NGA,"MF,FW",Augsburg,Bundesliga,25,1996,0.2,8,0,1,4,4,1,8,2,1,50.0,1,50.0,4,45,15,0,1,0,1,0,5,1,Matches
251,Gavin Bazunu,IRL,GK,Southampton,Premier League,20,2002,32.0,1253,910,1234,19,0,0,1253,0,0,0.0,0,0.0,746,3699,2072,0,0,0,0,0,599,0,Matches
252,Bebé,CPV,FW,Rayo Vallecano,La Liga,32,1990,0.7,52,0,1,19,36,0,52,8,3,37.5,4,50.0,37,344,154,5,8,0,6,3,34,10,Matches
253,Ihlas Bebou,TOG,"FW,DF",Hoffenheim,Bundesliga,28,1994,15.7,576,22,63,235,288,69,575,58,26,44.8,30,51.7,307,1655,680,27,19,15,61,17,376,116,Matches
254,Rodrigo Becão,BRA,DF,Udinese,Serie A,26,1996,27.6,1667,135,805,701,172,43,1667,10,5,50.0,5,50.0,850,3682,2219,19,15,3,16,2,948,48,Matches
255,Mads Bech Sørensen,DEN,"DF,MF",Brentford,Premier League,23,1999,0.2,14,1,4,8,2,0,14,0,0,0.0,0,0.0,2,3,0,0,0,0,0,0,5,0,Matches
256,Julius Beck,DEN,MF,Spezia,Serie A,17,2005,0.1,8,0,2,5,1,0,8,0,0,0.0,0,0.0,5,27,5,0,0,0,1,1,6,0,Matches
257,Sheraldo Becker,SUR,FW,Union Berlin,Bundesliga,27,1995,28.4,908,7,57,263,602,117,908,59,26,44.1,28,47.5,617,4379,2043,105,48,45,62,35,679,240,Matches
258,Jan Bednarek,POL,DF,Southampton,Premier League,26,1996,18.6,1127,205,635,460,37,14,1127,2,1,50.0,1,50.0,579,2671,1580,8,1,0,2,1,605,2,Matches
259,Jan Bednarek,POL,DF,Aston Villa,Premier League,26,1996,1.1,79,9,39,40,1,0,79,0,0,0.0,0,0.0,47,291,177,1,0,0,0,0,53,0,Matches
260,Donny van de Beek,NED,MF,Manchester Utd,Premier League,25,1997,1.9,72,1,3,23,46,11,72,3,2,66.7,1,33.3,39,148,85,2,3,0,2,2,53,20,Matches
261,Asmir Begović,BIH,GK,Everton,Premier League,35,1987,1.0,33,31,33,0,0,0,33,0,0,0.0,0,0.0,19,75,47,0,0,0,0,0,13,0,Matches
262,Yanis Begraoui,MAR,"FW,MF",Toulouse,Ligue 1,21,2001,0.7,29,0,7,11,11,2,29,2,1,50.0,1,50.0,22,91,32,1,1,0,6,1,21,3,Matches
263,Kevin Behrens,GER,FW,Union Berlin,Bundesliga,31,1991,17.1,687,30,53,312,327,83,687,24,12,50.0,8,33.3,306,1254,350,11,8,6,45,20,512,92,Matches
264,Alexis Beka Beka,FRA,"MF,DF",Nice,Ligue 1,21,2001,6.1,387,14,82,219,93,5,387,17,8,47.1,8,47.1,295,1911,864,13,12,3,12,8,262,23,Matches
265,Jérémie Bela,ANG,"DF,MF",Clermont Foot,Ligue 1,29,1993,8.3,355,15,72,132,157,15,355,27,9,33.3,14,51.9,240,1600,644,22,14,5,19,8,224,54,Matches
266,Reda Belahyane,FRA,MF,Nice,Ligue 1,18,2004,2.0,135,3,41,92,9,1,135,5,5,100.0,0,0.0,113,643,318,3,4,1,3,5,97,1,Matches
267,Youcef Belaïli,ALG,"MF,FW",Ajaccio,Ligue 1,30,1992,12.8,631,6,66,320,257,51,625,64,29,45.3,24,37.5,476,3115,1319,32,24,18,42,27,431,68,Matches
268,Youcef Belaïli,ALG,"FW,MF",Brest,Ligue 1,30,1992,4.0,212,2,22,84,110,13,212,15,4,26.7,7,46.7,149,1023,484,16,10,4,16,4,144,31,Matches
269,Haris Belkebla,ALG,MF,Brest,Ligue 1,28,1994,29.5,1524,58,353,979,214,15,1523,34,11,32.4,15,44.1,1097,5725,2432,19,25,4,37,27,946,37,Matches
270,Stefan Bell,GER,DF,Mainz 05,Bundesliga,30,1991,26.6,1551,180,849,653,59,18,1551,7,6,85.7,0,0.0,767,3351,1604,9,6,0,13,4,760,10,Matches
271,Armel Bella Kotchap,GER,DF,Southampton,Premier League,20,2001,20.9,1211,209,654,519,46,22,1211,11,4,36.4,3,27.3,697,3570,1899,9,12,2,9,6,682,2,Matches
272,Raoul Bellanova,ITA,DF,Inter,Serie A,22,2000,5.5,373,24,115,127,135,13,373,12,7,58.3,2,16.7,230,1762,908,25,12,3,4,5,246,37,Matches
273,Karim Bellarabi,GER,"FW,MF",Leverkusen,Bundesliga,32,1990,0.9,68,1,9,25,35,4,68,5,1,20.0,4,80.0,41,183,90,4,3,2,1,2,55,11,Matches
274,Jean-Ricner Bellegarde,FRA,"MF,FW",Strasbourg,Ligue 1,24,1998,26.9,1589,30,219,833,569,45,1589,111,57,51.4,32,28.8,1129,8275,4230,104,97,16,64,44,1035,110,Matches
275,Héctor Bellerín,ESP,DF,Barcelona,La Liga,27,1995,1.6,107,1,17,50,41,5,107,4,3,75.0,1,25.0,54,271,159,2,3,1,1,0,66,6,Matches
276,Jude Bellingham,ENG,MF,Dortmund,Bundesliga,19,2003,29.9,2091,48,342,1171,606,105,2090,151,86,57.0,42,27.8,1342,7887,3912,97,50,24,63,58,1568,139,Matches
277,Jeanöel Belocian,FRA,DF,Rennes,Ligue 1,17,2005,5.6,353,24,123,191,41,4,353,4,2,50.0,1,25.0,248,1242,543,8,5,1,4,2,223,21,Matches
