Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Brenden Aaronson,USA,"MF,FW",Leeds United,Premier League,21,2000,26.4,1,41,9,22.0,1.56,0.34,0.02,0.11,18.4,2,0,0,3.9,3.9,0.09,-2.9,-2.9,Matches
2,Paxten Aaronson,USA,"MF,DF",Eint Frankfurt,Bundesliga,18,2003,1.9,0,4,1,25.0,2.08,0.52,0.0,0.0,18.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
3,James Abankwah,IRL,DF,Udinese,Serie A,18,2004,0.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
4,George Abbott,ENG,MF,Tottenham,Premier League,16,2005,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
5,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,34,1987,37.0,1,32,3,9.4,0.86,0.08,0.03,0.33,15.0,0,0,0,2.4,2.4,0.07,-1.4,-1.4,Matches
6,Himad Abdelli,ALG,"MF,FW",Angers,Ligue 1,22,1999,23.7,2,24,7,29.2,1.01,0.29,0.08,0.29,22.4,2,0,0,1.4,1.4,0.06,0.6,0.6,Matches
7,Salis Abdul Samed,GHA,MF,Lens,Ligue 1,22,2000,32.2,1,13,4,30.8,0.4,0.12,0.08,0.25,19.1,0,0,0,0.9,0.9,0.07,0.1,0.1,Matches
8,Laurent Abergel,FRA,MF,Lorient,Ligue 1,29,1993,26.0,0,13,2,15.4,0.5,0.08,0.0,0.0,24.0,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
9,Oliver Abildgaard,DEN,MF,Hellas Verona,Serie A,26,1996,6.6,0,3,2,66.7,0.46,0.3,0.0,0.0,14.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
10,Matthis Abline,FRA,"FW,MF",Auxerre,Ligue 1,19,2003,9.0,2,24,8,33.3,2.68,0.89,0.04,0.13,20.6,0,1,2,3.6,2.0,0.08,-1.6,-1.0,Matches
11,Matthis Abline,FRA,"FW,MF",Rennes,Ligue 1,19,2003,1.2,1,6,2,33.3,5.05,1.68,0.17,0.5,12.2,0,0,0,0.8,0.8,0.13,0.2,0.2,Matches
12,Abner,BRA,DF,Betis,La Liga,22,2000,6.7,0,5,1,20.0,0.74,0.15,0.0,0.0,13.6,0,0,0,1.7,1.7,0.34,-1.7,-1.7,Matches
