Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1771,Illan Meslier,FRA,GK,Leeds United,Premier League,22,2000,34.0,3,0,0,1,5,0,0,1,1,0,0,0,34,10,3,76.9,Matches
1772,Lionel Messi,ARG,"FW,MF",Paris S-G,Ligue 1,35,1987,31.5,0,0,0,8,36,6,91,2,18,0,0,0,75,1,3,25.0,Matches
1773,Junior Messias,BRA,"FW,DF",Milan,Serie A,31,1991,16.6,3,0,0,24,24,1,25,7,18,0,0,0,69,25,41,37.9,Matches
1774,Amine Messoussa,FRA,FW,Lille,Ligue 1,17,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Matches
1775,Thomas Meunier,BEL,DF,Dortmund,Bundesliga,30,1991,6.5,2,0,0,12,4,1,16,9,7,0,0,0,44,7,3,70.0,Matches
1776,Alexander Meyer,GER,GK,Dortmund,Bundesliga,31,1991,7.0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,100.0,Matches
1777,Sven Michel,GER,"FW,MF",Union Berlin,Bundesliga,32,1990,5.5,2,0,0,13,4,4,17,0,5,0,0,0,29,25,46,35.2,Matches
1778,Alex Mighten,ENG,FW,Nott'ham Forest,Premier League,20,2002,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,Matches
1779,Tommaso Milanese,ITA,MF,Cremonese,Serie A,20,2002,0.3,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0.0,Matches
1780,Nikola Milenković,SRB,DF,Fiorentina,Serie A,24,1997,23.7,4,0,0,39,21,0,0,22,25,0,0,1,127,73,30,70.9,Matches
1781,Lewis Miley,ENG,MF,Newcastle Utd,Premier League,16,2006,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,Matches
1782,Arkadiusz Milik,POL,FW,Juventus,Serie A,28,1994,17.6,3,1,1,27,29,8,6,1,8,1,1,0,40,36,56,39.1,Matches
1783,Arkadiusz Milik,POL,FW,Marseille,Ligue 1,28,1994,1.4,1,0,0,4,1,1,0,0,1,0,0,0,4,2,7,22.2,Matches
1784,Sergej Milinković-Savić,SRB,MF,Lazio,Serie A,27,1995,33.6,10,0,0,45,72,2,29,28,35,0,0,0,168,96,71,57.5,Matches
1785,Vanja Milinković-Savić,SRB,GK,Torino,Serie A,25,1997,38.0,4,0,0,0,4,0,0,1,1,0,0,0,64,12,2,85.7,Matches
1786,Éder Militão,BRA,DF,Real Madrid,La Liga,24,1998,30.0,4,0,0,35,38,1,12,42,32,1,1,0,159,64,34,65.3,Matches
1787,Luka Milivojević,SRB,MF,Crystal Palace,Premier League,31,1991,5.7,2,0,0,15,3,0,6,12,7,0,0,0,34,6,9,40.0,Matches
1788,Luis Milla,ESP,MF,Getafe,La Liga,27,1994,20.6,6,1,1,29,22,1,75,32,30,0,1,0,149,17,19,47.2,Matches
1789,Pere Milla,ESP,"FW,MF",Elche,La Liga,29,1992,20.5,7,0,0,19,44,13,14,9,20,1,0,0,97,28,33,45.9,Matches
1790,Enzo Millot,FRA,MF,Stuttgart,Bundesliga,20,2002,9.9,3,0,0,16,19,1,23,12,16,0,1,0,46,8,15,34.8,Matches
1791,James Milner,ENG,"MF,DF",Liverpool,Premier League,36,1986,10.1,2,0,0,16,15,0,52,12,16,0,0,0,64,13,14,48.1,Matches
