Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,SCAPL,SCAPD,SCATO,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPL,GCAPD,GCATO,GCASh,GCAFld,GCADef,Matches
642,Arnaut Danjuma,NED,"FW,MF","Tottenham,Villarreal","Premier League,La Liga",25,1997,7.2,17,2.36,11,0,1,1,3,1,0,0,0,0,0,0,0,0,0
644,Kévin Danois,FRA,MF,Auxerre,Ligue 1,18,2004,0,0,#DIV/0!,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0
645,Kevin Danso,AUT,DF,Lens,Ligue 1,23,1998,35.9,41,1.14,38,0,1,0,2,0,5,0.14,4,0,0,0,1,0,0
646,Dante,BRA,DF,Nice,Ligue 1,38,1983,36.7,34,0.93,30,0,0,3,0,1,3,0.08,3,0,0,0,0,0,0
647,Márton Dárdai,GER,"DF,MF",Hertha BSC,Bundesliga,20,2002,10.5,10,0.95,9,0,0,0,1,0,1,0.1,1,0,0,0,0,0,0
648,Sergi Darder,ESP,MF,Espanyol,La Liga,28,1993,36.9,150,4.07,98,35,8,4,4,1,11,0.3,9,1,0,1,0,0,0
649,Achraf Dari,MAR,DF,Brest,Ligue 1,23,1999,14.6,7,0.48,3,2,0,0,1,1,2,0.14,1,0,0,0,1,0,0
650,Vladimír Darida,CZE,MF,Hertha BSC,Bundesliga,31,1990,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
651,Matteo Darmian,ITA,DF,Inter,Serie A,32,1989,22.5,39,1.73,33,4,0,0,1,1,4,0.18,3,0,0,0,1,0,0
652,Josh Dasilva,ENG,MF,Brentford,Premier League,23,1998,15.4,42,2.73,36,1,3,1,1,0,7,0.45,5,0,1,0,1,0,0
653,David Datro Fofana,CIV,FW,Chelsea,Premier League,19,2002,0.8,6,7.5,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0
654,Jonathan David,CAN,FW,Lille,Ligue 1,22,2000,35.2,116,3.3,84,0,6,13,11,2,13,0.37,9,0,0,2,2,0,0
655,Alphonso Davies,CAN,DF,Bayern Munich,Bundesliga,21,2000,22.7,88,3.88,76,0,9,1,1,1,8,0.35,7,0,1,0,0,0,0
656,Ben Davies,WAL,DF,Tottenham,Premier League,29,1993,25.4,37,1.46,33,1,0,3,0,0,7,0.28,5,0,0,2,0,0,0
657,Tom Davies,ENG,MF,Everton,Premier League,24,1998,6,6,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
658,Paweł Dawidowicz,POL,DF,Hellas Verona,Serie A,27,1995,18.1,16,0.88,13,1,0,1,0,1,1,0.06,0,0,0,1,0,0,0
659,Craig Dawson,ENG,DF,"West Ham,Wolves","Premier League,Premier League",32,1990,23.7,18,0.76,16,0,0,1,1,0,1,0.04,0,0,0,0,1,0,0
661,Kevin De Bruyne,BEL,MF,Manchester City,Premier League,31,1991,26.9,176,6.54,120,33,8,7,5,3,31,1.15,24,3,1,1,2,0,0
662,Charles De Ketelaere,BEL,"MF,FW",Milan,Serie A,21,2001,12.4,47,3.79,39,2,4,0,2,0,2,0.16,2,0,0,0,0,0,0
663,Manuel De Luca,ITA,"FW,MF",Sampdoria,Serie A,24,1998,0.5,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
664,Tommaso De Nipoti,ITA,MF,Atalanta,Serie A,19,2003,0,0,#DIV/0!,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0
665,Rodrigo De Paul,ARG,MF,Atlético Madrid,La Liga,28,1994,21.4,88,4.11,77,7,1,0,3,0,11,0.51,10,0,0,0,1,0,0
666,Mattia De Sciglio,ITA,DF,Juventus,Serie A,29,1992,11.6,15,1.29,14,0,0,0,1,0,1,0.09,1,0,0,0,0,0,0
667,Lorenzo De Silvestri,ITA,DF,Bologna,Serie A,34,1988,7.5,11,1.47,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
668,Thibault De Smet,BEL,DF,Reims,Ligue 1,24,1998,19.5,29,1.49,25,3,0,0,0,1,1,0.05,1,0,0,0,0,0,0
669,Koni De Winter,BEL,DF,Empoli,Serie A,20,2002,11.4,5,0.44,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670,Grégoire Defrel,MTQ,FW,Sassuolo,Serie A,31,1991,13,16,1.23,14,0,0,1,1,0,1,0.08,1,0,0,0,0,0,0
671,Duccio Degl'Innocenti,ITA,MF,Empoli,Serie A,19,2003,0,0,#DIV/0!,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0
672,Brecht Dejaegere,BEL,MF,Toulouse,Ligue 1,31,1991,20.1,48,2.39,40,0,4,2,2,0,6,0.3,4,0,1,1,0,0,0
673,Romain Del Castillo,FRA,"MF,FW",Brest,Ligue 1,26,1996,15.8,68,4.3,40,18,3,3,2,2,13,0.82,8,3,1,0,1,0,0
674,Alberto Del Moral,ESP,MF,Villarreal,La Liga,22,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
675,Thomas Delaine,FRA,"DF,MF",Strasbourg,Ligue 1,30,1992,11.9,23,1.93,19,0,2,0,0,2,4,0.34,4,0,0,0,0,0,0
676,Thomas Delaney,DEN,MF,"Sevilla,Hoffenheim","La Liga,Bundesliga",30,1991,6.7,7,1.04,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0
678,Sacha Delaye,FRA,"FW,MF",Montpellier,Ligue 1,20,2002,0.2,2,10,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
679,Fran Delgado,ESP,DF,Betis,La Liga,21,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680,Andy Delort,ALG,FW,"Nice,Nantes","Ligue 1,Ligue 1",30,1991,13.9,33,2.37,29,0,0,3,1,0,2,0.14,2,0,0,0,0,0,0
682,Karamoko Dembele,SCO,"FW,MF",Brest,Ligue 1,19,2003,2,8,4,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0
683,Moussa Dembélé,FRA,"FW,MF",Lyon,Ligue 1,26,1996,9.7,14,1.44,12,0,1,0,0,1,2,0.21,2,0,0,0,0,0,0
684,Ousmane Dembélé,FRA,FW,Barcelona,La Liga,25,1997,15.7,86,5.48,52,13,15,3,3,0,12,0.76,9,0,2,1,0,0,0
685,Siriki Dembélé,CIV,"FW,MF","Bournemouth,Auxerre","Premier League,Ligue 1",25,1996,5.3,26,4.91,18,0,8,0,0,0,0,0,0,0,0,0,0,0,0
687,Merih Demiral,TUR,DF,Atalanta,Serie A,24,1998,17.1,4,0.23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688,Kerem Demirbay,GER,MF,Leverkusen,Bundesliga,29,1993,17.2,51,2.97,25,21,2,2,1,0,6,0.35,3,3,0,0,0,0,0
689,Ermedin Demirović,BIH,"FW,MF",Augsburg,Bundesliga,24,1998,26.3,57,2.17,43,0,4,5,3,2,8,0.3,4,0,0,2,1,1,0
690,Diego Demme,GER,MF,Napoli,Serie A,30,1991,1.6,3,1.88,3,0,0,0,0,0,1,0.63,1,0,0,0,0,0,0
691,Sepp van den Berg,NED,DF,Schalke 04,Bundesliga,20,2001,7.7,3,0.39,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
692,Branco van den Boomen,NED,MF,Toulouse,Ligue 1,27,1995,32.1,154,4.8,85,57,0,9,3,0,22,0.69,16,3,0,3,0,0,0
693,Leander Dendoncker,BEL,MF,"Aston Villa,Wolves","Premier League,Premier League",27,1995,10.1,12,1.19,9,0,0,1,0,2,0,0,0,0,0,0,0,0,0
695,Emmanuel Dennis,NGA,"FW,MF",Nott'ham Forest,Premier League,24,1997,8,25,3.13,14,1,2,2,6,0,3,0.38,2,0,0,0,1,0,0
696,Fabio Depaoli,ITA,DF,"Hellas Verona,Sampdoria","Serie A,Serie A",25,1997,25.6,49,1.91,32,9,1,0,6,1,4,0.16,3,1,0,0,0,0,0
698,Kastriot Dermaku,ALB,DF,Lecce,Serie A,30,1992,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
699,Halil Dervişoğlu,TUR,MF,Brentford,Premier League,22,1999,0.1,1,10,0,0,0,1,0,0,1,10,0,0,0,1,0,0,0
700,Rémy Descamps,FRA,GK,Nantes,Ligue 1,26,1996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
701,Mikkel Desler,DEN,DF,Toulouse,Ligue 1,27,1995,25.1,49,1.95,42,1,2,3,1,0,5,0.2,5,0,0,0,0,0,0
702,Cyriel Dessers,NGA,FW,Cremonese,Serie A,27,1994,17.6,44,2.5,28,2,5,5,3,1,2,0.11,1,0,1,0,0,0,0
703,Sergiño Dest,USA,DF,Milan,Serie A,21,2000,3.7,11,2.97,8,2,1,0,0,0,1,0.27,1,0,0,0,0,0,0
704,Mattia Destro,ITA,"FW,MF",Empoli,Serie A,31,1991,6.4,11,1.72,5,0,3,1,2,0,1,0.16,1,0,0,0,0,0,0
705,Gerard Deulofeu,ESP,FW,Udinese,Serie A,28,1994,13.5,82,6.07,54,14,6,5,3,0,9,0.67,7,2,0,0,0,0,0
706,Kiernan Dewsbury-Hall,ENG,MF,Leicester City,Premier League,23,1998,25.6,78,3.05,61,0,8,2,5,2,9,0.35,6,0,1,0,1,1,0
707,Samuel Di Carmine,ITA,"FW,MF",Cremonese,Serie A,33,1988,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
708,Federico Di Francesco,ITA,"FW,MF",Lecce,Serie A,28,1994,22.6,49,2.17,29,5,5,2,6,2,5,0.22,2,1,1,1,0,0,0
709,Michele Di Gregorio,ITA,GK,Monza,Serie A,25,1997,37,3,0.08,3,0,0,0,0,0,1,0.03,1,0,0,0,0,0,0
710,Giovanni Di Lorenzo,ITA,DF,Napoli,Serie A,28,1993,36.2,111,3.07,93,5,1,6,3,3,13,0.36,13,0,0,0,0,0,0
711,Ángel Di María,ARG,"FW,MF",Juventus,Serie A,34,1988,15.1,83,5.5,45,24,6,6,1,1,7,0.46,5,2,0,0,0,0,0
712,Boulaye Dia,SEN,"FW,MF",Salernitana,Serie A,25,1996,28,64,2.29,53,0,3,5,3,0,9,0.32,8,0,1,0,0,0,0
713,Moussa Diaby,FRA,"FW,MF",Leverkusen,Bundesliga,23,1999,30,110,3.67,74,5,14,14,3,0,16,0.53,10,0,4,0,2,0,0
714,Mouctar Diakhaby,GUI,DF,Valencia,La Liga,25,1996,27.2,15,0.55,13,0,0,2,0,0,1,0.04,1,0,0,0,0,0,0
715,Mamadou Diakhon,FRA,FW,Reims,Ligue 1,16,2005,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
716,Bafodé Diakité,FRA,DF,Lille,Ligue 1,21,2001,29.5,36,1.22,28,2,1,3,1,1,0,0,0,0,0,0,0,0,0
717,Ibrahim Diakité,GUI,DF,Reims,Ligue 1,18,2003,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
718,Abdou Diallo,SEN,"DF,MF",RB Leipzig,Bundesliga,26,1996,5.3,5,0.94,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
719,Baila Diallo,FRA,"DF,MF",Clermont Foot,Ligue 1,21,2001,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720,Habib Diallo,SEN,FW,Strasbourg,Ligue 1,27,1995,32,63,1.97,39,0,7,10,7,0,6,0.19,3,0,1,2,0,0,0
721,Ibrahima Diallo,FRA,MF,Southampton,Premier League,23,1999,9.1,10,1.1,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0
722,Ismael Diallo,CIV,DF,Ajaccio,Ligue 1,25,1997,24.2,17,0.7,11,4,0,1,1,0,0,0,0,0,0,0,0,0,0
723,Mamady Diarra,MLI,"MF,DF",Cádiz,La Liga,22,2000,0.7,1,1.43,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
724,Mouhamadou Diarra,FRA,"MF,FW",Strasbourg,Ligue 1,18,2004,18.1,59,3.26,42,0,7,4,6,0,7,0.39,4,0,1,0,2,0,0
725,Moussa Diarra,MLI,DF,Toulouse,Ligue 1,21,2000,13.6,16,1.18,15,0,0,0,1,0,3,0.22,3,0,0,0,0,0,0
726,Stéphane Diarra,FRA,"FW,MF",Lorient,Ligue 1,23,1998,11.8,35,2.97,20,2,5,2,5,1,5,0.42,1,0,2,0,1,1,0
727,Youba Diarra,MLI,MF,Cádiz,La Liga,24,1998,1.1,3,2.73,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
728,Rúben Dias,POR,DF,Manchester City,Premier League,25,1997,22.2,15,0.68,11,1,0,3,0,0,1,0.05,1,0,0,0,0,0,0
729,Krépin Diatta,SEN,"MF,FW",Monaco,Ligue 1,23,1999,23,68,2.96,44,1,8,7,5,3,7,0.3,2,0,0,1,3,1,0
730,Mory Diaw,SEN,GK,Clermont Foot,Ligue 1,29,1993,37,7,0.19,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
731,Brahim Díaz,ESP,"MF,FW",Milan,Serie A,22,1999,21.4,96,4.49,69,1,12,6,7,1,18,0.84,8,0,6,2,1,1,0
732,Luis Díaz,COL,FW,Liverpool,Premier League,25,1997,11.1,41,3.69,29,0,7,3,2,0,6,0.54,3,0,2,1,0,0,0
733,Justin Diehl,GER,"MF,FW",Köln,Bundesliga,17,2004,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
734,Bamba Dieng,SEN,"FW,MF","Marseille,Lorient","Ligue 1,Ligue 1",22,2000,10.5,18,1.71,10,0,0,3,3,2,3,0.29,0,0,0,2,1,0,0
736,Eric Dier,ENG,DF,Tottenham,Premier League,28,1994,31.3,29,0.93,24,1,0,4,0,0,2,0.06,1,0,0,1,0,0,0
737,Florian Dietz,GER,FW,Köln,Bundesliga,23,1998,4.4,6,1.36,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
738,Lucas Digne,FRA,DF,Aston Villa,Premier League,29,1993,16.7,29,1.74,24,4,0,0,1,0,0,0,0,0,0,0,0,0,0
739,Federico Dimarco,ITA,DF,Inter,Serie A,24,1997,23,103,4.48,64,29,1,5,3,1,8,0.35,6,0,1,1,0,0,0
740,Stole Dimitrievski,MKD,GK,Rayo Vallecano,La Liga,28,1993,36.9,4,0.11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
741,Junior Dina Ebimbe,FRA,"DF,MF",Eint Frankfurt,Bundesliga,21,2000,11.8,17,1.44,12,1,1,3,0,0,1,0.08,1,0,0,0,0,0,0
742,Tristan Dingomé,CMR,MF,Troyes,Ligue 1,31,1991,1.1,8,7.27,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0
743,Eren Dinkçi,GER,"FW,MF",Werder Bremen,Bundesliga,20,2001,2.6,8,3.08,5,0,2,1,0,0,1,0.38,1,0,0,0,0,0,0
744,Sinaly Diomande,CIV,DF,Lyon,Ligue 1,21,2001,21.7,13,0.6,9,1,1,1,0,1,1,0.05,0,1,0,0,0,0,0
745,Lois Diony,FRA,FW,Angers,Ligue 1,29,1992,5.6,11,1.96,7,0,2,1,1,0,0,0,0,0,0,0,0,0,0
746,Edan Diop,FRA,"DF,FW",Monaco,Ligue 1,17,2004,2.5,7,2.8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
747,Issa Diop,FRA,DF,Fulham,Premier League,25,1997,22.4,9,0.4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
748,Sofiane Diop,FRA,"MF,FW","Nice,Monaco","Ligue 1,Ligue 1",22,2000,14.3,64,4.48,41,10,6,3,2,2,10,0.7,6,2,0,2,0,0,0
750,Yehvann Diouf,FRA,GK,Reims,Ligue 1,22,1999,31,4,0.13,2,2,0,0,0,0,1,0.03,1,0,0,0,0,0,0
751,Axel Disasi,FRA,DF,Monaco,Ligue 1,24,1998,37,26,0.7,22,1,0,2,0,1,6,0.16,5,0,0,1,0,0,0
752,Tiago Djaló,POR,DF,Lille,Ligue 1,22,2000,22.4,10,0.45,8,0,0,1,1,0,3,0.13,2,0,0,0,1,0,0
753,Djené,TOG,DF,Getafe,La Liga,30,1991,31.6,31,0.98,23,2,2,1,3,0,7,0.22,7,0,0,0,0,0,0
754,Moussa Djenepo,MLI,"DF,FW",Southampton,Premier League,24,1998,7.9,17,2.15,12,0,2,1,2,0,4,0.51,2,0,2,0,0,0,0
755,Koffi Djidji,CIV,DF,Torino,Serie A,29,1992,26.9,18,0.67,16,0,0,0,0,2,1,0.04,1,0,0,0,0,0,0
756,Alexander Djiku,GHA,DF,Strasbourg,Ligue 1,27,1994,29.7,24,0.81,22,1,0,1,0,0,5,0.17,5,0,0,0,0,0,0
757,Berat Djimsiti,ALB,DF,Atalanta,Serie A,29,1993,20,10,0.5,8,0,0,1,1,0,4,0.2,3,0,0,1,0,0,0
758,Moussa Djitte,SEN,FW,Ajaccio,Ligue 1,22,1999,1.5,2,1.33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
759,Ouparine Djoco,GNB,GK,Clermont Foot,Ligue 1,24,1998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760,Marko Dmitrović,SRB,GK,Sevilla,La Liga,30,1992,14.1,4,0.28,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
761,Alan Do Marcolino,GAB,FW,Rennes,Ligue 1,20,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762,Ben Doak,SCO,FW,Liverpool,Premier League,16,2005,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
763,Ritsu Doan,JPN,"MF,FW",Freiburg,Bundesliga,24,1998,26.9,72,2.68,45,1,10,5,9,2,10,0.37,6,0,1,0,3,0,0
764,Dodô,BRA,DF,Fiorentina,Serie A,23,1998,25.9,65,2.51,58,2,1,2,1,1,5,0.19,5,0,0,0,0,0,0
765,Danilho Doekhi,NED,DF,Union Berlin,Bundesliga,24,1998,24.6,21,0.85,19,0,0,0,2,0,3,0.12,2,0,0,0,1,0,0
766,Matt Doherty,IRL,"DF,MF","Tottenham,Atlético Madrid","Premier League,La Liga",30,1992,7.6,18,2.37,13,0,2,2,1,0,3,0.39,2,0,0,1,0,0,0
768,Josh Doig,SCO,DF,Hellas Verona,Serie A,20,2002,15,35,2.33,23,6,3,1,2,0,7,0.47,5,0,1,0,1,0,0
769,Jeremy Doku,BEL,"MF,FW",Rennes,Ligue 1,20,2002,14.3,81,5.66,52,1,22,2,3,1,10,0.7,1,0,7,1,1,0,0
770,Kasper Dolberg,DEN,FW,"Sevilla,Hoffenheim","La Liga,Bundesliga",24,1997,6.7,9,1.34,6,0,0,0,2,1,1,0.15,1,0,0,0,0,0,0
772,Carlos Dominguez,ESP,DF,Celta Vigo,La Liga,21,2001,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
773,Nicolás Domínguez,ARG,MF,Bologna,Serie A,24,1998,25.6,71,2.77,61,2,3,1,3,1,5,0.2,5,0,0,0,0,0,0
774,John Donald,ESP,"MF,DF",Elche,La Liga,21,2000,12.1,6,0.5,6,0,0,0,0,0,1,0.08,1,0,0,0,0,0,0
775,Giulio Donati,ITA,DF,Monza,Serie A,32,1990,4.7,4,0.85,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
776,Kyliane Dong,FRA,"MF,FW",Troyes,Ligue 1,17,2004,2.4,5,2.08,2,1,0,1,1,0,2,0.83,1,0,0,0,1,0,0
777,Jordan Dongmo,CMR,MF,Troyes,Ligue 1,21,2001,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
778,Gianluigi Donnarumma,ITA,GK,Paris S-G,Ligue 1,23,1999,37.9,1,0.03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
779,Niklas Dorsch,GER,MF,Augsburg,Bundesliga,24,1998,5.4,8,1.48,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0
780,Gabriel Dos Santos,BRA,DF,Arsenal,Premier League,24,1997,37.9,24,0.63,21,0,0,2,0,1,2,0.05,2,0,0,0,0,0,0
781,Jodel Dossou,BEN,"MF,DF",Clermont Foot,Ligue 1,30,1992,2.9,5,1.72,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
782,Lohann Doucet,FRA,"MF,FW",Nantes,Ligue 1,19,2002,1,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
783,Abdoulaye Doucouré,MLI,MF,Everton,Premier League,29,1993,17,45,2.65,38,0,3,2,0,2,3,0.18,3,0,0,0,0,0,0
784,Cheick Doucouré,MLI,MF,Crystal Palace,Premier League,22,2000,30.8,61,1.98,48,0,2,5,2,4,6,0.19,4,0,0,1,0,1,0
785,Ckene Doucouré,COM,"FW,MF",Lorient,Ligue 1,20,2002,1.5,12,8,10,0,0,1,1,0,2,1.33,1,0,0,0,1,0,0
786,Désiré Doué,FRA,"MF,FW",Rennes,Ligue 1,17,2005,12.4,35,2.82,23,3,3,1,3,2,2,0.16,2,0,0,0,0,0,0
787,Guela Doué,FRA,"FW,MF",Rennes,Ligue 1,19,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
788,Ismaël Doukouré,FRA,"DF,MF",Strasbourg,Ligue 1,19,2003,25.5,20,0.78,17,0,1,1,1,0,2,0.08,2,0,0,0,0,0,0
789,Kamory Doumbia,MLI,MF,Reims,Ligue 1,19,2003,12.8,41,3.2,34,0,2,2,2,1,3,0.23,3,0,0,0,0,0,0
790,Souleyman Doumbia,CIV,"DF,FW",Angers,Ligue 1,25,1996,19.9,32,1.61,25,0,3,0,3,1,0,0,0,0,0,0,0,0,0
791,Flynn Downes,ENG,MF,West Ham,Premier League,23,1999,8.5,13,1.53,8,0,0,3,2,0,0,0,0,0,0,0,0,0,0
792,Kami Doyle,ENG,MF,Southampton,Premier League,16,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
793,Bartłomiej Drągowski,POL,GK,Spezia,Serie A,24,1997,32.7,7,0.21,6,1,0,0,0,0,2,0.06,2,0,0,0,0,0,0
794,Cody Drameh,ENG,DF,Leeds United,Premier League,20,2001,0.8,1,1.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
795,Dion Drena Beljo,CRO,FW,Augsburg,Bundesliga,20,2002,12.5,25,2,20,0,0,3,1,1,5,0.4,3,0,0,2,0,0,0
796,Dominick Drexler,GER,"MF,FW",Schalke 04,Bundesliga,32,1990,15.2,46,3.03,34,6,2,1,2,1,5,0.33,4,0,1,0,0,0,0
797,Domingos Duarte,POR,DF,Getafe,La Liga,27,1995,29.5,15,0.51,13,0,0,2,0,0,3,0.1,2,0,0,1,0,0,0
798,Martin Dúbravka,SVK,GK,Newcastle Utd,Premier League,33,1989,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
799,Marvin Ducksch,GER,FW,Werder Bremen,Bundesliga,28,1994,31.7,109,3.44,67,30,5,4,3,0,24,0.76,16,4,2,1,1,0,0
800,Ondrej Duda,SVK,MF,"Hellas Verona,Köln","Serie A,Bundesliga",27,1994,19.5,42,2.15,30,3,3,2,3,1,5,0.26,3,0,1,1,0,0,0
802,Shane Duffy,IRL,"DF,FW",Fulham,Premier League,30,1992,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
803,Rémy Dugimont,FRA,"FW,MF",Auxerre,Ligue 1,36,1986,1.3,5,3.85,4,0,0,0,1,0,1,0.77,1,0,0,0,0,0,0
804,Denzel Dumfries,NED,DF,Inter,Serie A,26,1996,24.6,71,2.89,48,4,1,9,8,1,11,0.45,6,0,0,2,3,0,0
805,Alfred Duncan,GHA,MF,Fiorentina,Serie A,29,1993,12.3,39,3.17,32,2,1,2,1,1,5,0.41,3,0,1,1,0,0,0
806,Lewis Dunk,ENG,DF,Brighton,Premier League,30,1991,36,32,0.89,31,0,0,1,0,0,2,0.06,2,0,0,0,0,0,0
807,Maxime Dupé,FRA,GK,Toulouse,Ligue 1,29,1993,38,2,0.05,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
808,Jhon Durán,COL,"FW,MF",Aston Villa,Premier League,18,2003,1.5,5,3.33,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0
809,Pablo Durán,ESP,"MF,DF",Celta Vigo,La Liga,21,2001,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
810,Julien Duranville,BEL,MF,Dortmund,Bundesliga,16,2006,0.3,5,16.67,3,0,2,0,0,0,1,3.33,1,0,0,0,0,0,0
811,Hugo Duro,ESP,FW,Valencia,La Liga,22,1999,15.4,22,1.43,17,0,2,0,3,0,2,0.13,1,0,0,0,1,0,0
812,Jean-Kevin Duverne,HAI,DF,Brest,Ligue 1,25,1997,27.9,48,1.72,32,4,5,0,7,0,4,0.14,0,0,0,0,4,0,0
813,Paulo Dybala,ARG,"MF,FW",Roma,Serie A,28,1993,19.3,104,5.39,48,29,4,10,13,0,8,0.41,4,2,0,1,1,0,0
814,Edin Džeko,BIH,FW,Inter,Serie A,36,1986,19.2,61,3.18,47,0,1,12,1,0,11,0.57,7,0,1,3,0,0,0
815,Malcolm Ebiowei,ENG,"MF,FW",Crystal Palace,Premier League,18,2003,0.4,1,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
816,Festy Ebosele,IRL,DF,Udinese,Serie A,19,2002,4.6,11,2.39,8,0,2,0,0,1,2,0.43,2,0,0,0,0,0,0
817,Enzo Ebosse,CMR,DF,Udinese,Serie A,23,1999,10.3,8,0.78,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0
818,Tyronne Ebuehi,NGA,DF,Empoli,Serie A,26,1995,21.4,29,1.36,22,5,0,1,1,0,4,0.19,3,0,0,1,0,0,0
819,Ederson,BRA,GK,Manchester City,Premier League,28,1993,35,2,0.06,2,0,0,0,0,0,1,0.03,1,0,0,0,0,0,0
820,Éderson,BRA,MF,Atalanta,Serie A,23,1999,24.6,55,2.24,37,1,7,7,1,2,5,0.2,3,0,1,0,1,0,0
821,Odsonne Édouard,FRA,FW,Crystal Palace,Premier League,24,1998,20,44,2.2,32,0,1,9,2,0,4,0.2,4,0,0,0,0,0,0
822,Samuel Edozie,ENG,"FW,MF",Southampton,Premier League,19,2003,6.3,20,3.17,13,0,3,0,4,0,0,0,0,0,0,0,0,0,0
823,Maximilian Eggestein,GER,MF,Freiburg,Bundesliga,25,1996,27.2,50,1.84,44,0,1,1,3,1,5,0.18,4,0,0,0,1,0,0
824,Lilian Egloff,GER,"MF,FW",Stuttgart,Bundesliga,19,2002,2.7,10,3.7,8,0,0,1,1,0,2,0.74,2,0,0,0,0,0,0
825,Íñigo Eguaras,ESP,MF,Almería,La Liga,30,1992,10.7,25,2.34,22,0,0,1,1,1,2,0.19,2,0,0,0,0,0,0
826,Kingsley Ehizibue,NED,DF,"Udinese,Köln","Serie A,Bundesliga",27,1995,17.8,32,1.8,23,2,0,5,1,1,3,0.17,2,0,0,0,1,0,0
828,Julian Eitschberger,GER,FW,Hertha BSC,Bundesliga,18,2004,0,0,#DIV/0!,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0
829,Chidera Ejuke,NGA,"FW,MF",Hertha BSC,Bundesliga,24,1998,9.9,41,4.14,28,0,9,1,2,1,5,0.51,5,0,0,0,0,0,0
830,Albin Ekdal,SWE,MF,Spezia,Serie A,33,1989,19.3,35,1.81,26,0,1,4,2,2,1,0.05,1,0,0,0,0,0,0
831,Hugo Ekitike,FRA,FW,Paris S-G,Ligue 1,20,2002,12.8,33,2.58,25,0,3,2,3,0,7,0.55,6,0,1,0,0,0,0
832,Emmanuel Ekong,SWE,"FW,MF",Empoli,Serie A,20,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
