,Player,Position,90s,TCmp,LFTP,LPrgP,Def_3rd,Mid_3rd,Att_3rd,Live,TOSucc,CaPrgC,PrgR,BTklInt,CTkl%,BClr,ADWon,ADWonp
181,José Mari,defensive midfield,4.4,168,32,21,82,153,29,260,3,5,4,21,62.5,9,5,41.66666666666667
182,Eric Martel,defensive midfield,22.4,695,50,72,333,661,213,1196,7,17,46,99,50.0,49,57,52.77777777777778
183,Jonas Martin,defensive midfield,3.1,193,19,20,56,178,29,262,0,4,4,16,35.714285714285715,3,8,72.72727272727273
184,Omar Mascarell,defensive midfield,27.2,1091,101,116,519,882,150,1539,21,27,6,98,48.4375,54,27,56.25
185,Pape Matar Sarr,defensive midfield,2.4,141,9,13,65,104,21,190,1,1,0,13,50.0,6,3,37.5
186,Nemanja Matić,defensive midfield,20.6,1109,136,134,324,942,231,1475,24,50,17,72,57.57575757575758,21,19,57.57575757575758
187,Azor Matusiwa,defensive midfield,27.6,1376,148,213,541,1138,260,1915,16,15,18,112,59.01639344262295,52,32,47.76119402985074
188,Scott McTominay,defensive midfield,12.9,355,32,33,205,287,132,618,13,20,19,46,59.09090909090909,45,34,59.64912280701754
189,Bamo Meïté,defensive midfield,16.7,838,25,32,614,472,22,1107,8,10,1,34,43.75,70,30,46.15384615384615
190,Thiago Mendes,defensive midfield,22.9,1445,156,170,502,1225,188,1913,6,10,20,95,75.0,51,34,62.96296296296296
191,Diego Méndez,defensive midfield,0.0,1,0,0,2,1,0,3,0,0,0,1,0.0,0,1,100.0
192,Batista Mendy,defensive midfield,31.8,1234,159,195,414,1033,277,1700,38,27,49,91,69.81132075471697,29,27,67.5
193,Nampalys Mendy,defensive midfield,8.4,362,20,28,139,310,45,490,7,2,4,26,53.333333333333336,2,4,40.0
194,Luka Milivojević,defensive midfield,5.7,207,17,20,117,153,55,321,1,2,2,25,70.0,10,6,40.0
195,Clinton Mola,defensive midfield,0.2,3,0,0,9,4,2,14,0,0,0,4,100.0,2,1,50.0
196,Diego Moreno,defensive midfield,7.1,216,17,14,134,176,81,389,3,9,19,9,37.5,21,5,38.46153846153847
197,Nikola Moro,defensive midfield,13.6,643,85,102,210,549,181,931,18,24,35,40,38.88888888888889,18,20,64.51612903225806
198,Marshall Munetsi,defensive midfield,30.0,651,71,95,256,642,364,1243,20,33,87,84,41.66666666666667,41,58,54.20560747663551
199,Wilfred Ndidi,defensive midfield,18.7,754,49,51,406,652,92,1129,10,11,7,99,39.53488372093023,48,25,53.191489361702125
200,Rúben Neves,defensive midfield,33.5,1730,202,218,810,1307,394,2483,19,28,18,129,43.24324324324324,85,25,50.0
201,Christian Nørgaard,defensive midfield,19.6,608,68,73,338,554,165,1050,8,4,8,86,37.5,41,18,47.368421052631575
202,Amadou Onana,defensive midfield,27.6,816,77,79,287,745,295,1310,18,27,49,109,71.42857142857143,39,60,52.17391304347826
203,Jean Onana,defensive midfield,9.0,412,38,29,138,373,76,583,7,12,18,46,45.45454545454545,20,9,56.25
204,Zinédine Ould Khaled,defensive midfield,0.6,34,3,5,4,31,8,43,0,0,2,3,0.0,0,1,33.33333333333333
205,Salih Özcan,defensive midfield,17.5,882,75,81,286,773,115,1171,6,6,23,59,41.02564102564102,19,20,51.28205128205128
206,David Ozoh,defensive midfield,0.0,3,0,0,0,0,4,4,0,0,0,0,0.0,0,0,0.0
207,João Palhinha,defensive midfield,34.5,1051,118,101,433,1056,247,1714,14,8,18,193,52.98507462686567,61,71,64.54545454545455
208,Flavio Paoletti,defensive midfield,3.2,138,7,8,53,112,27,191,2,7,8,7,20.0,9,1,14.285714285714285
209,Antonios Papadopoulos,defensive midfield,0.1,17,1,1,8,12,1,21,0,1,0,1,0.0,0,1,100.0
210,Leandro Paredes,defensive midfield,11.5,749,72,78,226,551,169,943,4,12,11,38,47.82608695652174,22,4,57.14285714285714
211,Thomas Partey,defensive midfield,27.6,1731,231,231,418,1406,466,2267,35,34,35,98,48.07692307692308,41,37,59.67741935483871
212,Danilo Pereira,defensive midfield,26.8,1950,200,154,695,1442,162,2277,10,26,11,68,73.07692307692307,59,34,60.71428571428571
