,Player,Position,PTCrs,PTTB,LxA,LKP,LFTP,LPPA,LPrgP,Att_Pen,TOAtt,TOSucc,CaPrgC,CaCPA,PrgR,90s,npxG,npxG/Sh,SSh_p90,SSoT_90,Off
496,Joel Roca,left winger,0,0,0.0,1,0,0,0,5,14,5,3,2,14,0.9,0.3,0.3,4.444444444444445,2.2222222222222223,0
497,Miguel Rodríguez,right winger,13,0,0.5,1,4,5,6,13,13,3,10,4,22,2.8,0.2,0.2,1.0714285714285714,0.7142857142857143,1
498,Rodrygo,right winger,22,2,6.2,47,63,28,81,204,169,81,146,79,268,26.4,13.7,12.9,3.674242424242424,1.1742424242424243,10
499,Luka Romero,right winger,0,0,0.1,2,2,0,4,7,10,2,4,2,21,1.7,0.9,0.9,2.9411764705882355,0.5882352941176471,0
500,Aitor Ruibal,right winger,31,1,1.1,15,51,12,62,24,67,35,38,8,70,16.2,0.8,0.8,0.925925925925926,0.3703703703703704,3
501,Alexis Saelemaekers,right winger,48,3,3.6,22,28,30,52,50,72,31,52,15,143,15.6,2.5,2.5,2.243589743589744,0.6410256410256411,2
502,Wesley Saïd,left winger,5,1,0.8,7,17,13,26,41,26,17,19,6,67,7.2,3.3,3.3,3.75,1.3888888888888888,1
503,Allan Saint-Maximin,left winger,32,4,2.8,31,23,35,69,77,99,57,93,41,111,12.4,1.6,1.6,2.258064516129032,0.8870967741935484,2
504,Samuel Sáiz,left winger,6,2,0.3,3,13,7,17,7,10,4,5,2,18,2.7,1.7,0.1,0.7407407407407407,0.3703703703703703,2
505,Bukayo Saka,right winger,172,2,5.8,75,50,66,109,237,161,61,179,84,520,35.3,11.2,9.1,2.436260623229462,0.821529745042493,9
506,Ibrahim Salah,left winger,8,0,0.4,6,6,8,14,5,18,13,13,1,27,2.5,0.3,0.3,2.4,0.8,2
507,Mohamed Salah,right winger,38,14,7.2,65,53,80,149,301,134,50,120,87,421,36.6,21.7,18.5,3.3060109289617485,1.2295081967213115,22
508,Roland Sallai,right winger,35,2,1.6,17,11,12,17,40,27,12,22,3,71,11.1,2.6,2.6,2.882882882882883,0.990990990990991,3
509,Salvi,right winger,37,1,0.8,7,7,8,13,18,9,3,27,3,51,5.4,0.8,0.8,1.6666666666666663,0.5555555555555555,2
510,Mama Samba Baldé,right winger,13,2,1.6,22,33,15,56,125,124,56,51,25,179,29.6,10.6,9.1,2.466216216216216,0.8108108108108107,22
511,Leandro Sanca,right winger,2,0,0.0,0,0,0,0,0,5,3,1,0,3,0.4,0.0,0.0,0.0,0.0,0
512,Alexis Sánchez,left winger,37,14,5.1,55,65,64,127,145,82,43,42,20,232,29.8,12.6,10.2,2.114093959731544,0.9731543624161072,28
513,Iván Sánchez,right winger,38,1,1.7,17,36,16,65,26,63,36,58,12,61,12.8,0.8,0.8,1.328125,0.546875,1
514,Jadon Sancho,left winger,17,4,4.1,43,23,40,76,106,78,33,88,45,173,18.7,4.2,4.2,1.1229946524064172,0.4812834224598931,8
515,Leroy Sané,left winger,16,9,5.1,35,58,47,134,101,136,75,77,30,198,22.3,8.5,8.5,3.497757847533632,1.3004484304932735,7
