,Player,Position,BTklInt,CTkl%,PTCrs,PTTB,SCA,LPrgP,LFTP,LxA,CaFTC,CaPrgC,Def_3rd,Mid_3rd,Att_3rd,Live,90s,PrgR
297,Waren Kamanzi,right-back,24,68.42105263157895,6,0,11,22,17,0.2,22,22,138,187,109,431,7.4,28
298,Rick Karsdorp,right-back,28,59.09090909090909,14,3,16,24,13,1.1,8,16,156,185,110,444,7.9,33
299,Denso Kasius,right-back,15,80.0,12,0,15,9,6,0.8,10,9,75,105,65,243,3.8,21
300,Kenedy,left wingback,7,50.0,5,0,6,4,7,0.6,1,4,18,59,58,131,3.1,21
301,Jonjoe Kenny,right-back,92,57.14285714285714,54,0,44,98,89,1.7,24,30,507,717,269,1477,24.9,59
302,Sead Kolašinac,left-back,95,64.86486486486487,20,1,27,109,93,1.7,37,49,408,831,322,1547,24.6,86
303,Youssouf Koné,left-back,40,72.0,27,0,6,23,22,0.1,10,14,218,265,54,531,10.2,16
304,Filip Kostić,left wingback,60,44.680851063829785,227,4,94,82,45,4.9,55,104,247,611,694,1533,29.3,233
305,Filip Kostić,left wingback,60,44.680851063829785,7,0,94,82,45,4.9,55,104,247,611,694,1533,29.3,233
306,Jules Koundé,right-back,56,67.74193548387096,36,4,41,185,176,2.3,52,58,675,1215,362,2234,27.0,61
307,Emil Krafth,right-back,0,0.0,0,0,0,0,0,0.0,0,0,1,0,0,1,0.0,0
308,Lukas Kübler,right-back,66,60.0,33,1,18,57,59,0.7,10,11,345,486,191,1017,18.2,50
309,Sael Kumbedi,right-back,57,52.63157894736842,32,1,24,40,30,1.5,31,16,271,463,262,991,14.7,84
310,Layvin Kurzawa,left-back,5,100.0,2,0,0,2,1,0.0,0,1,35,18,11,64,1.5,2
311,Giorgos Kyriakopoulos,left-back,49,27.027027027027028,38,0,46,55,45,2.0,15,38,277,381,349,995,16.3,96
312,Giorgos Kyriakopoulos,left-back,49,27.027027027027028,39,0,46,55,45,2.0,15,38,277,381,349,995,16.3,96
313,Stefan Lainer,right-back,30,43.47826086956522,18,2,13,45,38,1.3,8,23,203,383,136,720,9.1,39
314,Kenny Lala,right-back,57,57.89473684210527,64,2,40,61,46,2.3,22,24,368,463,215,1029,15.7,30
315,Tariq Lamptey,right-back,18,71.42857142857143,31,1,14,26,14,0.7,12,28,80,138,161,376,5.0,58
316,Juan Larios,left-back,10,100.0,4,0,1,4,5,0.0,2,10,32,55,20,106,1.7,1
317,Yasser Larouci,left-back,49,62.5,50,5,35,63,40,1.3,49,72,324,485,289,1073,20.0,113
318,Toni Lato,left-back,29,42.85714285714285,32,1,28,40,32,1.0,15,18,149,247,191,583,10.2,47
319,Valentino Lazaro,right-back,13,42.85714285714285,86,0,51,74,48,2.5,25,44,200,433,394,1017,15.3,84
320,Darko Lazović,left wingback,40,44.82758620689656,123,6,67,81,49,5.3,37,72,197,411,461,1052,24.9,167
321,Manuel Lazzari,right-back,51,58.333333333333336,36,0,29,64,49,0.9,62,98,433,657,310,1380,20.9,74
322,Julien Le Cardinal,right-back,8,66.66666666666666,10,0,7,8,8,0.4,9,4,28,69,57,153,1.8,13
323,Vincent Le Goff,left-back,116,72.58064516129032,39,2,38,178,135,1.7,57,69,848,1158,371,2358,37.0,84
324,Iñigo Lekue,right-back,37,63.1578947368421,43,0,30,64,57,0.7,25,42,265,450,249,951,14.7,59
325,Dexter Lembikisa,left-back,0,0.0,1,0,1,3,2,0.0,0,2,3,7,3,13,0.3,3
326,Christopher Lenz,left-back,50,43.24324324324324,93,0,41,63,46,3.1,24,30,249,439,288,966,14.3,67
327,Jamal Lewis,left-back,0,0.0,0,0,0,1,0,0.0,1,0,6,4,5,15,0.1,1
328,Rico Lewis,right-back,22,54.54545454545454,5,1,27,48,38,1.6,24,22,133,416,199,742,10.0,26
329,Pol Lirola,right-back,20,61.53846153846154,32,0,19,19,10,0.6,18,21,126,159,117,396,7.0,35
