Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,TCmp,TAtt,TCmpp,TTD,TPD,SCmp,SAtt,SCmpp,MCmp,MAtt,MCmpp,LCmp,LAtt,LCmpp,LAst,LxAG,LxA,LAxAG,LKP,LFTP,LPPA,LCrsPA,LPrgP
41,Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,28,1994,14.4,447,592,75.5,7451,2109,207,255,81.17647058823529,179,230,77.82608695652173,38,68,55.88235294117647,1,0.9,1.3,0.1,9,53,11,1,50
42,Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,26,1995,34.7,1525,1766,86.4,31337,9650,383,439,87.24373576309794,974,1050,92.76190476190476,163,244,66.80327868852459,0,0.1,0.3,-0.1,2,83,4,0,95
43,Ola Aina,NGA,DF,Torino,Serie A,25,1996,9.7,402,544,73.9,6725,2554,210,232,90.51724137931035,130,173,75.14450867052022,48,93,51.61290322580645,1,2.1,1.9,-1.1,12,35,14,9,43
44,Rayan Aït Nouri,ALG,DF,Wolves,Premier League,21,2001,12.0,470,578,81.3,7079,2353,268,300,89.33333333333333,169,205,82.4390243902439,20,32,62.5,0,1.0,0.9,-1.0,7,29,14,5,43
45,Emanuel Aiwum,AUT,DF,Cremonese,Serie A,21,2000,18.4,646,817,79.1,10819,3713,297,332,89.45783132530121,294,349,84.2406876790831,40,97,41.23711340206185,0,0.4,0.8,-0.4,4,48,7,1,46
46,Kristoffer Ajer,NOR,DF,Brentford,Premier League,24,1998,8.5,259,345,75.1,4480,1887,131,159,82.38993710691824,102,128,79.6875,23,40,57.49999999999999,0,0.0,0.1,0.0,1,20,3,1,31
47,Ludovic Ajorque,FRA,FW,"Strasbourg,Mainz 05","Ligue 1,Bundesliga",28,1994,22.1,421,670,128.4,6164,1010,256,368,69.56521739130434,55,183,30.05464480874317,33,44,75.0,1,2.6,2.4000000000000004,-1.6,23,27,14,0,44
49,Manuel Akanji,SUI,DF,Manchester City,Premier League,27,1995,25.4,1912,2056,93.0,32634,10258,867,902,96.11973392461198,903,945,95.55555555555556,117,166,70.48192771084338,1,0.4,1.0,0.6,7,140,3,1,116
50,Nathan Aké,NED,DF,Manchester City,Premier League,27,1995,20.8,1639,1813,90.4,26199,8953,803,846,94.91725768321513,745,809,92.08899876390606,63,98,64.28571428571429,0,0.7,1.3,-0.7,9,165,9,1,140
51,Sergio Akieme,ESP,DF,Almería,La Liga,24,1997,25.5,821,1061,77.4,13314,5012,430,485,88.65979381443299,315,386,81.60621761658031,52,128,40.625,0,2.0,2.2,-2.0,21,43,22,17,58
52,Babatunde Akinsola,NGA,FW,Valladolid,La Liga,19,2003,0.1,2,2,100.0,41,0,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
53,Maghnes Akliouche,FRA,"MF,FW",Monaco,Ligue 1,20,2002,4.5,130,168,77.4,1613,498,78,91,85.71428571428571,34,46,73.91304347826086,3,7,42.857142857142854,0,0.5,0.5,-0.5,6,12,5,0,16
54,Paul Akouokou,CIV,"MF,DF",Betis,La Liga,24,1997,5.0,160,174,92.0,2670,645,71,73,97.26027397260275,66,69,95.65217391304348,14,18,77.77777777777779,0,0.0,0.1,0.0,0,13,1,0,10
55,Jean-Daniel Akpa-Akpro,CIV,"MF,FW",Empoli,Serie A,29,1992,15.1,302,406,74.4,4399,1671,167,201,83.08457711442786,96,118,81.35593220338984,18,36,50.0,1,1.0,1.2,0.0,6,24,9,2,39
56,Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,27,1995,21.7,814,1024,79.5,15380,5931,275,319,86.20689655172413,437,495,88.28282828282829,83,162,51.23456790123457,0,0.5,0.8,-0.5,5,83,10,3,85
57,David Alaba,AUT,DF,Real Madrid,La Liga,30,1992,20.4,1042,1189,87.6,15258,5475,601,626,96.00638977635782,340,388,87.62886597938144,53,99,53.535353535353536,3,1.1,1.3,1.9,16,68,9,4,67
58,Ángel Alarcón,ESP,FW,Barcelona,La Liga,18,2004,0.3,0,0,0.0,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
59,Tomás Alarcón,CHI,MF,Cádiz,La Liga,23,1999,2.5,78,95,82.1,1688,582,28,32,87.5,27,34,79.41176470588235,20,25,80.0,0,0.1,0.1,-0.1,2,11,1,0,9
60,Lucas Alario,ARG,"FW,MF",Eint Frankfurt,Bundesliga,29,1992,3.7,56,85,65.9,792,190,29,41,70.73170731707317,20,28,71.42857142857143,4,5,80.0,0,0.0,0.4,0.0,1,4,0,0,8
61,Jordi Alba,ESP,DF,Barcelona,La Liga,33,1989,15.8,1217,1460,83.4,19141,5490,668,728,91.75824175824175,441,521,84.64491362763916,78,139,56.11510791366906,3,6.2,6.7,-3.2,38,120,43,15,141
62,Luis Alberto,ESP,MF,Lazio,Serie A,29,1992,27.1,1640,1988,82.5,25338,8690,905,986,91.78498985801217,560,646,86.687306501548,116,238,48.739495798319325,7,7.0,6.3,0.0,66,210,56,1,248
