Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,GA,npg,PK,PKatt,CrdY,CrdR,xG,NPxG,xAG,NPxG+xAG,PrgC,PrgP,PrgR,Gls_p90,Ast_p90,GA_p90,npg_p90,npG+A_p90,xG_p90,xAG_p90,xG+xAG_p90,NPxG_p90,NPxG+xAG_p90,
49,Manuel Akanji,SUI,DF,Manchester City,Premier League,27,1995,29,24,2287,25.4,0,1,1,0,0,0,2,0,1.3,1.3,0.4,1.7,24,116,17,0,0.039370079,0.039370079,0,0.039370079,0.051181102,0.015748031,0.066929134,0.051181102,0.066929134,Matches
50,Nathan Aké,NED,DF,Manchester City,Premier League,27,1995,26,22,1873,20.8,1,0,1,1,0,0,2,0,1.6,1.6,0.7,2.3,25,140,30,0.048076923,0,0.048076923,0.048076923,0.048076923,0.076923077,0.033653846,0.110576923,0.076923077,0.110576923,Matches
51,Sergio Akieme,ESP,DF,Almería,La Liga,24,1997,29,27,2297,25.5,1,0,1,1,0,0,5,0,1.5,1.5,2,3.5,60,58,84,0.039215686,0,0.039215686,0.039215686,0.039215686,0.058823529,0.078431373,0.137254902,0.058823529,0.137254902,Matches
52,Babatunde Akinsola,NGA,FW,Valladolid,La Liga,19,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,Matches
53,Maghnes Akliouche,FRA,"MF,FW",Monaco,Ligue 1,20,2002,11,5,402,4.5,0,0,0,0,0,0,3,0,0.5,0.5,0.5,0.9,9,16,42,0,0,0,0,0,0.111111111,0.111111111,0.222222222,0.111111111,0.2,Matches
54,Paul Akouokou,CIV,"MF,DF",Betis,La Liga,24,1997,12,3,447,5,0,0,0,0,0,0,3,0,0.2,0.2,0,0.2,1,10,1,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches
55,Jean-Daniel Akpa-Akpro,CIV,"MF,FW",Empoli,Serie A,29,1992,24,16,1356,15.1,1,1,2,1,0,0,9,2,1.5,1.5,1,2.4,19,39,37,0.066225166,0.066225166,0.132450331,0.066225166,0.132450331,0.099337748,0.066225166,0.165562914,0.099337748,0.158940397,Matches
56,Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,27,1995,28,21,1950,21.7,0,0,0,0,0,0,11,0,0.6,0.6,0.5,1.2,17,85,23,0,0,0,0,0,0.02764977,0.023041475,0.050691244,0.02764977,0.055299539,Matches
57,David Alaba,AUT,DF,Real Madrid,La Liga,30,1992,23,21,1838,20.4,1,3,4,1,0,0,3,0,0.8,0.8,1.1,1.9,16,67,60,0.049019608,0.147058824,0.196078431,0.049019608,0.196078431,0.039215686,0.053921569,0.093137255,0.039215686,0.093137255,Matches
58,Ángel Alarcón,ESP,FW,Barcelona,La Liga,18,2004,4,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
59,Tomás Alarcón,CHI,MF,Cádiz,La Liga,23,1999,4,2,223,2.5,0,0,0,0,0,0,2,1,0,0,0.1,0.1,2,9,6,0,0,0,0,0,0,0.04,0.04,0,0.04,Matches
60,Lucas Alario,ARG,"FW,MF",Eint Frankfurt,Bundesliga,29,1992,20,2,331,3.7,1,0,1,1,0,0,0,0,1.4,1.4,0,1.5,2,8,17,0.27027027,0,0.27027027,0.27027027,0.27027027,0.378378378,0,0.378378378,0.378378378,0.405405405,Matches
61,Jordi Alba,ESP,DF,Barcelona,La Liga,33,1989,24,14,1419,15.8,2,3,5,2,0,0,6,1,0.8,0.8,6.2,7,42,141,157,0.126582278,0.189873418,0.316455696,0.126582278,0.316455696,0.050632911,0.392405063,0.443037975,0.050632911,0.443037975,Matches
62,Luis Alberto,ESP,MF,Lazio,Serie A,29,1992,35,27,2442,27.1,6,7,13,5,1,2,4,0,4.4,2.7,7,9.7,73,248,94,0.221402214,0.258302583,0.479704797,0.184501845,0.442804428,0.162361624,0.258302583,0.420664207,0.099630996,0.357933579,Matches
63,Raúl Albiol,ESP,DF,Villarreal,La Liga,36,1985,25,24,2119,23.5,0,0,0,0,0,0,6,0,0.1,0.1,0,0.1,12,100,3,0,0,0,0,0,0.004255319,0,0.004255319,0.004255319,0.004255319,Matches
64,Marc Albrighton,ENG,"FW,MF",Leicester City,Premier League,32,1989,6,1,237,2.6,1,0,1,1,0,0,0,0,0.3,0.3,0.9,1.3,4,7,18,0.384615385,0,0.384615385,0.384615385,0.384615385,0.115384615,0.346153846,0.461538462,0.115384615,0.5,Matches
65,Thiago Alcántara,ESP,MF,Liverpool,Premier League,31,1991,18,14,1254,13.9,0,0,0,0,0,0,2,0,0.4,0.4,1.1,1.5,13,120,24,0,0,0,0,0,0.028776978,0.079136691,0.107913669,0.028776978,0.107913669,Matches
66,Carlos Alcaraz,ARG,"MF,FW",Southampton,Premier League,19,2002,18,13,1029,11.4,4,2,6,4,0,0,3,0,1.9,1.9,0.7,2.6,20,28,32,0.350877193,0.175438596,0.526315789,0.350877193,0.526315789,0.166666667,0.061403509,0.228070175,0.166666667,0.228070175,Matches
