Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SGls,SSh,SSoT,SSoTp,SSh_p90,SSoT_90,SG_Sh,SG_SoT,SFK,SPK,SPKatt,xG,npxG,npxG/Sh,G-xG,npG-xG,SDist
75,Mohamed Ali Cho,FRA,"FW,MF",Real Sociedad,La Liga,18,2004,6.5,1,23,12,52.17391304347826,3.5384615384615383,1.8461538461538463,0.04,0.08,18.3,0,0,0,1.8,1.8,0.0782608695652174,-0.8,-0.8
76,Faride Alidou,GER,"DF,MF",Eint Frankfurt,Bundesliga,21,2001,2.0,0,2,0,0.0,1.0,0.0,0.0,0.0,17.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1
77,Alisson,BRA,GK,Liverpool,Premier League,29,1992,37.0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0
78,Jim Allevinah,GAB,"DF,FW",Clermont Foot,Ligue 1,27,1995,24.9,1,30,8,26.666666666666668,1.2048192771084338,0.321285140562249,0.03,0.13,16.9,0,0,0,2.5,2.5,0.08333333333333333,-1.5,-1.5
79,Dele Alli,ENG,MF,Everton,Premier League,26,1996,0.4,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0
80,Domingos André Ribeiro Almeida,POR,MF,Valencia,La Liga,22,2000,28.2,2,23,8,34.78260869565217,0.8156028368794327,0.28368794326241137,0.09,0.25,22.7,3,0,0,1.4,1.4,0.0608695652173913,0.6,0.6
81,Miguel Almirón,PAR,FW,Newcastle Utd,Premier League,28,1994,27.7,11,69,20,28.985507246376812,2.490974729241877,0.7220216606498195,0.16,0.55,16.4,0,0,0,8.0,8.0,0.11594202898550725,3.0,3.0
82,Marcos Alonso,ESP,DF,Barcelona,La Liga,31,1990,13.0,1,6,2,33.33333333333333,0.46153846153846156,0.15384615384615385,0.17,0.5,12.0,0,0,0,0.9,0.9,0.15,0.1,0.1
83,Mickaël Alphonse,GLP,DF,Ajaccio,Ligue 1,33,1989,15.1,0,10,2,20.0,0.6622516556291391,0.13245033112582782,0.0,0.0,16.3,0,0,0,0.5,0.5,0.05,-0.5,-0.5
84,Éder Álvarez Balanta,COL,"MF,FW",Schalke 04,Bundesliga,29,1993,2.6,0,1,1,100.0,0.3846153846153846,0.3846153846153846,0.0,0.0,17.5,0,0,0,0.1,0.1,0.1,-0.1,-0.1
85,Carlos Álvarez,ESP,MF,Sevilla,La Liga,18,2003,0.1,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0
86,Gastón Álvarez,URU,DF,Getafe,La Liga,22,2000,16.7,2,5,2,40.0,0.29940119760479045,0.11976047904191617,0.4,1.0,16.9,0,0,0,0.5,0.5,0.1,1.5,1.5
87,Julián Álvarez,ARG,"FW,MF",Manchester City,Premier League,22,2000,16.3,9,46,20,43.47826086956522,2.822085889570552,1.2269938650306749,0.17,0.4,16.0,0,1,1,7.0,6.2,0.13478260869565217,2.0,1.8
88,Agustín Álvarez Martínez,URU,"FW,MF",Sassuolo,Serie A,21,2001,4.1,1,14,4,28.57142857142857,3.414634146341464,0.9756097560975611,0.07,0.25,15.8,0,0,0,1.5,1.5,0.10714285714285714,-0.5,-0.5
89,Yeray Álvarez,ESP,DF,Athletic Club,La Liga,27,1995,25.9,1,8,1,12.5,0.3088803088803089,0.03861003861003861,0.13,1.0,16.0,0,0,0,0.8,0.8,0.1,0.2,0.2
90,Ibrahim Amadou,FRA,"DF,MF",Angers,Ligue 1,29,1993,4.7,0,2,0,0.0,0.425531914893617,0.0,0.0,0.0,24.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1
91,Selim Amallah,MAR,"MF,FW",Valladolid,La Liga,25,1996,3.0,2,5,2,40.0,1.6666666666666667,0.6666666666666666,0.4,1.0,19.2,1,0,0,0.9,0.9,0.18,1.1,1.1
92,Daniel Amartey,GHA,DF,Leicester City,Premier League,27,1994,17.9,0,6,2,33.33333333333333,0.335195530726257,0.111731843575419,0.0,0.0,17.4,0,0,0,1.1,1.1,0.18333333333333335,-1.1,-1.1
93,Amath,SEN,"MF,FW",Mallorca,La Liga,26,1996,13.6,2,23,7,30.434782608695656,1.6911764705882353,0.5147058823529412,0.09,0.29,14.0,0,0,0,2.7,2.7,0.11739130434782609,-0.7,-0.7
94,Jordan Amavi,FRA,DF,Getafe,La Liga,28,1994,2.2,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0
95,Lukáš Ambros,CZE,MF,Wolfsburg,Bundesliga,18,2004,0.2,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0
96,Kelvin Amian,FRA,DF,Spezia,Serie A,24,1998,26.4,0,26,7,26.923076923076923,0.9848484848484849,0.26515151515151514,0.0,0.0,16.7,1,0,0,2.7,2.7,0.10384615384615385,-2.7,-2.7
