Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,SCAPL,SCAPD,SCATO,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPL,GCAPD,GCATO,GCASh,GCAFld,GCADef
127,Stredair Appuah,FRA,"DF,MF",Nantes,Ligue 1,18,2004,0.7,6,8.571428571,5,0,1,0,0,0,1,1.428571429,1,0,0,0,0,0
128,Mauro Arambarri,URU,MF,Getafe,La Liga,26,1995,11,25,2.272727273,8,14,1,1,0,1,3,0.272727273,2,1,0,0,0,0
129,Charles Aránguiz,CHI,MF,Leverkusen,Bundesliga,33,1989,5.5,10,1.818181818,10,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Ronald Araújo,URU,DF,Barcelona,La Liga,23,1999,20,18,0.9,15,0,0,3,0,0,6,0.3,5,0,0,1,0,0
131,Cameron Archer,ENG,"FW,MF",Aston Villa,Premier League,21,2001,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,Taïryk Arconte,FRA,FW,Brest,Ligue 1,18,2003,1.4,3,2.142857143,2,1,0,0,0,0,0,0,0,0,0,0,0,0
133,Alphonse Areola,FRA,GK,West Ham,Premier League,29,1993,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Adu Ares,ESP,"FW,MF",Athletic Club,La Liga,20,2001,0.9,12,13.33333333,7,0,2,1,2,0,0,0,0,0,0,0,0,0
135,Joe Aribo,NGA,"MF,FW",Southampton,Premier League,26,1996,13.6,27,1.985294118,23,0,1,1,1,1,2,0.147058824,1,0,1,0,0,0
136,Adam Armstrong,ENG,"FW,MF",Southampton,Premier League,25,1997,14.8,24,1.621621622,19,0,2,1,1,1,2,0.135135135,1,0,0,0,0,1
137,Stuart Armstrong,SCO,"MF,FW",Southampton,Premier League,30,1992,15.6,50,3.205128205,39,1,0,6,4,0,2,0.128205128,1,0,0,0,1,0
138,Marko Arnautović,AUT,FW,Bologna,Serie A,33,1989,17,44,2.588235294,36,0,3,2,3,0,5,0.294117647,3,0,1,0,1,0
139,Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,28,1994,30.7,82,2.671009772,41,35,1,3,2,0,10,0.325732899,5,3,0,1,1,0
140,Mohamed El Arouch,FRA,MF,Lyon,Ligue 1,18,2004,0,1,,1,0,0,0,0,0,0,,0,0,0,0,0,0
141,Sergio Arribas,ESP,"MF,FW",Real Madrid,La Liga,20,2001,0.2,3,15,2,1,0,0,0,0,0,0,0,0,0,0,0,0
142,Kepa Arrizabalaga,ESP,GK,Chelsea,Premier League,27,1994,28.5,1,0.035087719,1,0,0,0,0,0,0,0,0,0,0,0,0,0
143,Roberto Arroyo,ESP,MF,Valladolid,La Liga,18,2003,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,Tolgay Arslan,GER,MF,Udinese,Serie A,31,1990,13.5,44,3.259259259,30,5,3,1,4,1,0,0,0,0,0,0,0,0
145,Ricard Artero,ESP,"MF,FW",Girona,La Liga,19,2003,1.5,1,0.666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0
146,Arthur,BRA,FW,Fiorentina,Serie A,24,1998,15.9,36,2.264150943,26,0,2,5,3,0,2,0.125786164,1,0,0,1,0,0
147,Santiago Arzamendia,PAR,"DF,MF",Cádiz,La Liga,24,1998,5.4,11,2.037037037,8,2,1,0,0,0,0,0,0,0,0,0,0,0
148,Takuma Asano,JPN,"FW,MF",Bochum,Bundesliga,27,1994,19,56,2.947368421,39,1,2,7,6,1,8,0.421052632,6,0,1,1,0,0
149,Santiago Ascacíbar,ARG,MF,Cremonese,Serie A,25,1997,8.1,25,3.086419753,17,1,0,7,0,0,3,0.37037037,1,0,0,2,0,0
150,Sergio Asenjo,ESP,GK,Valladolid,La Liga,33,1989,10,2,0.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
151,Marco Asensio,ESP,"FW,MF",Real Madrid,La Liga,26,1996,16,76,4.75,47,16,6,4,3,0,12,0.75,7,2,2,0,1,0
152,Kristoffer Askildsen,NOR,MF,Lecce,Serie A,21,2001,8.1,15,1.851851852,9,4,0,0,2,0,1,0.12345679,1,0,0,0,0,0
153,Fisnik Asllani,KVX,FW,Hoffenheim,Bundesliga,19,2002,1.9,8,4.210526316,6,0,0,0,1,1,1,0.526315789,1,0,0,0,0,0
154,Kristjan Asllani,ALB,MF,Inter,Serie A,20,2002,6.6,22,3.333333333,11,9,1,0,1,0,1,0.151515152,1,0,0,0,0,0
155,Iago Aspas,ESP,FW,Celta Vigo,La Liga,34,1987,31.9,141,4.420062696,110,8,5,8,9,1,8,0.250783699,8,0,0,0,0,0
156,Lorenz Assignon,TOG,DF,Rennes,Ligue 1,22,2000,2.9,4,1.379310345,3,1,0,0,0,0,1,0.344827586,1,0,0,0,0,0
157,Youcef Atal,ALG,"DF,MF",Nice,Ligue 1,26,1996,8.7,31,3.563218391,22,0,4,2,2,1,2,0.229885057,1,0,1,0,0,0
158,Valentin Atangana Edoa,FRA,MF,Reims,Ligue 1,16,2005,1.9,5,2.631578947,4,0,0,1,0,0,0,0,0,0,0,0,0,0
159,Pierre-Emerick Aubameyang,GAB,FW,"Chelsea,Barcelona","Premier League,La Liga",33,1989,6.3,9,1.428571429,6,0,0,3,0,0,0,0,0,0,0,0,0,0
161,Emil Audero,ITA,GK,Sampdoria,Serie A,25,1997,25,5,0.2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
162,Tommaso Augello,ITA,DF,Sampdoria,Serie A,27,1994,34,77,2.264705882,54,16,2,1,3,1,7,0.205882353,6,1,0,0,0,0
163,Ludwig Augustinsson,SWE,DF,"Aston Villa,Mallorca","Premier League,La Liga",28,1994,2.4,2,0.833333333,2,0,0,0,0,0,0,0,0,0,0,0,0,0
165,Serge Aurier,CIV,DF,Nott'ham Forest,Premier League,29,1992,21.6,26,1.203703704,21,2,0,0,2,1,1,0.046296296,0,1,0,0,0,0
166,Mathias Autret,FRA,"MF,FW",Auxerre,Ligue 1,31,1991,14.3,54,3.776223776,35,12,3,3,0,1,7,0.48951049,3,2,0,2,0,0
167,Ezequiel Ávila,ARG,"FW,MF",Osasuna,La Liga,28,1994,19,41,2.157894737,28,2,4,4,2,1,2,0.105263158,1,0,0,1,0,0
168,Cédric Avinel,GLP,DF,Ajaccio,Ligue 1,35,1986,19.9,3,0.150753769,1,1,0,1,0,0,1,0.050251256,0,0,0,1,0,0
169,Taiwo Awoniyi,NGA,FW,Nott'ham Forest,Premier League,24,1997,15.6,25,1.602564103,18,0,2,2,2,1,4,0.256410256,2,0,1,1,0,0
170,Yasin Ayari,SWE,MF,Brighton,Premier League,18,2003,0.7,4,5.714285714,3,0,0,0,1,0,0,0,0,0,0,0,0,0
171,Mehmet Aydin,GER,"DF,FW",Schalke 04,Bundesliga,20,2002,6.3,13,2.063492063,10,1,0,2,0,0,0,0,0,0,0,0,0,0
172,André Ayew,GHA,"FW,MF",Nott'ham Forest,Premier League,32,1989,3.5,3,0.857142857,2,1,0,0,0,0,0,0,0,0,0,0,0,0
173,Jordan Ayew,GHA,"FW,MF",Crystal Palace,Premier League,30,1991,30.2,78,2.582781457,53,0,9,6,7,3,8,0.264900662,5,0,1,1,1,0
174,Kaan Ayhan,TUR,DF,Sassuolo,Serie A,27,1994,6.1,5,0.819672131,5,0,0,0,0,0,0,0,0,0,0,0,0,0
175,Luke Ayling,ENG,DF,Leeds United,Premier League,30,1991,22.8,40,1.754385965,33,0,0,3,2,2,1,0.043859649,1,0,0,0,0,0
176,Ayman Azhil,MAR,MF,Leverkusen,Bundesliga,21,2001,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0
177,Sardar Azmoun,IRN,"FW,MF",Leverkusen,Bundesliga,27,1995,10.3,33,3.203883495,27,0,1,2,1,2,4,0.388349515,1,0,1,1,0,1
178,César Azpilicueta,ESP,DF,Chelsea,Premier League,32,1989,17,25,1.470588235,25,0,0,0,0,0,1,0.058823529,1,0,0,0,0,0
179,Sanoussy Ba,GER,DF,RB Leipzig,Bundesliga,18,2004,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0
