Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,ADWon,ADLost,ADWonp
2500,Hugo Sotelo,ESP,MF,Celta Vigo,La Liga,18,2003,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
2501,Florian Sotoca,FRA,"MF,FW",Lens,Ligue 1,31,1990,33.9,4,0,0,37,44,9,99,29,19,1,0,0,124,56,45,55.44554455445545
2502,Riccardo Sottil,ITA,FW,Fiorentina,Serie A,23,1999,9.3,1,0,0,4,27,6,31,0,3,0,0,0,32,3,5,37.5
2503,Tomáš Souček,CZE,MF,West Ham,Premier League,27,1995,31.3,3,0,0,50,16,2,20,53,37,0,0,0,143,114,92,55.33980582524271
2504,Matìas Soulé,ARG,"MF,FW",Juventus,Serie A,19,2003,4.7,0,0,0,3,5,0,6,3,4,0,0,0,30,3,14,17.647058823529413
2505,Moussa Soumano,FRA,FW,Ajaccio,Ligue 1,17,2005,5.5,3,0,0,10,4,3,1,0,2,0,0,0,10,8,23,25.806451612903224
2506,Adama Soumaoro,FRA,DF,Bologna,Serie A,30,1992,20.7,5,1,1,21,12,0,0,15,17,0,0,0,96,31,15,67.3913043478261
2507,Boubakary Soumaré,FRA,MF,Leicester City,Premier League,23,1999,18.1,9,0,0,31,22,1,2,33,34,0,0,0,119,18,14,56.25
2508,Arnaud Souquet,FRA,"DF,FW",Montpellier,Ligue 1,30,1992,4.0,1,0,0,7,7,1,7,4,16,0,1,0,27,9,10,47.368421052631575
2509,Dyego Sousa,POR,FW,Almería,La Liga,32,1989,5.9,1,0,0,10,12,4,1,1,6,0,0,0,17,27,25,51.92307692307693
2510,Harry Souttar,AUS,DF,Leicester City,Premier League,23,1998,11.0,2,0,0,5,5,1,0,12,9,0,0,1,45,38,6,86.36363636363636
2511,Vinicius Souza,BRA,MF,Espanyol,La Liga,23,1999,27.0,10,1,1,65,38,0,4,48,66,0,2,0,151,72,63,53.333333333333336
2512,Djibril Sow,SUI,MF,Eint Frankfurt,Bundesliga,25,1997,29.4,9,0,0,39,49,0,5,28,25,0,0,0,210,24,28,46.15384615384615
2513,Çağlar Söyüncü,TUR,DF,Leicester City,Premier League,26,1996,5.9,2,0,0,7,4,0,0,7,9,0,0,0,42,24,16,60.0
2514,Kevin Spadanuda,SUI,"MF,FW",Ajaccio,Ligue 1,25,1997,11.8,3,0,0,20,21,1,5,11,18,0,0,0,65,5,18,21.73913043478261
